prompt_id,layer,head,cv,kl,entropy,p_max
factual,18,9,1.364972,2.986325,0.875134,0.777037
factual,18,10,1.096171,1.6166279,0.576731,0.854381
factual,18,11,1.191324,1.4568681,0.636276,0.827411
factual,18,12,0.542572,0.5167845,0.213001,0.938119
factual,18,13,0.675466,0.4401534,0.191771,0.961531
factual,18,14,0.792395,0.6348177,0.211332,0.9625
factual,18,15,0.389187,0.2342997,0.087388,0.985901
factual,18,16,1.086439,1.0061412,0.389572,0.918726
factual,18,17,1.187277,1.2530081,0.447163,0.905522
factual,18,18,0.846367,0.7009515,0.23008,0.959448
factual,18,19,1.119832,1.781968,0.48034,0.889871
factual,18,20,1.060568,2.8396568,1.082531,0.666672
factual,18,21,1.122216,1.7444057,0.769726,0.779052
factual,18,22,1.221486,1.8045197,0.708848,0.811525
factual,18,23,1.085617,1.0188808,0.336862,0.936414
factual,19,0,1.100262,1.7258689,0.690714,0.814089
factual,19,1,0.959512,1.8174967,1.01703,0.642412
factual,19,2,1.079339,2.5668781,1.079166,0.65459
factual,19,3,0.826632,1.4188102,0.703818,0.762432
factual,19,4,1.027402,2.1263103,0.856119,0.736397
factual,19,5,0.951589,1.5091431,0.599615,0.818624
factual,19,6,0.967888,2.2144418,0.903223,0.703588
factual,19,7,0.67545,1.7546829,1.102245,0.513433
factual,19,8,1.217824,2.0188816,0.652707,0.837857
factual,19,9,1.160321,1.6505649,0.575917,0.860091
factual,19,10,1.180851,1.3829501,0.48945,0.890694
factual,19,11,1.172152,3.5135477,0.994635,0.71216
factual,19,12,0.857357,0.6665001,0.262556,0.948846
factual,19,13,0.904163,2.6522586,1.148889,0.581653
factual,19,14,1.047056,1.0813916,0.338892,0.933255
factual,19,15,0.417732,0.2003423,0.086344,0.986955
factual,19,16,0.481873,0.4889495,0.133217,0.9738
factual,19,17,0.828648,0.5590755,0.229207,0.958423
factual,19,18,1.167151,1.1974897,0.429987,0.911083
factual,19,19,1.25288,1.5802902,0.551925,0.874757
factual,19,20,1.29777,1.7232952,0.602782,0.860817
factual,19,21,0.333992,0.1373093,0.062647,0.991251
factual,19,22,0.282473,0.1165041,0.056882,0.991444
factual,19,23,0.503556,0.2624283,0.106134,0.983994
factual,20,0,1.120154,1.3607826,0.460732,0.893845
factual,20,1,1.063865,1.0628209,0.359848,0.924487
factual,20,2,1.014993,1.0639514,0.342074,0.929447
factual,20,3,1.110099,1.378167,0.70442,0.786735
factual,20,4,1.079527,1.0383096,0.396412,0.908957
factual,20,5,0.75616,0.5397174,0.188132,0.96814
factual,20,6,1.080165,1.8720548,0.745623,0.776501
factual,20,7,1.13118,1.1799841,0.444026,0.89652
factual,20,8,0.925905,1.0188103,0.301879,0.937214
factual,20,9,0.716087,0.5534054,0.223528,0.954296
factual,20,10,0.711185,0.5266048,0.179635,0.969298
factual,20,11,0.452236,0.2345068,0.093069,0.986093
factual,20,12,1.028164,1.3178718,0.62368,0.826207
factual,20,13,1.247996,1.4235972,0.706034,0.819444
factual,20,14,1.020165,1.0821117,0.349817,0.929917
